# k/h          CDM          Baryons      Total
6.942185e-02 5.473568e+04 4.325997e+04 5.298244e+04
7.376072e-02 5.150744e+04 4.092010e+04 4.988993e+04
7.809959e-02 4.842398e+04 3.790452e+04 4.681684e+04
8.243845e-02 4.547955e+04 3.447715e+04 4.379862e+04
8.677731e-02 4.269573e+04 3.097143e+04 4.090452e+04
9.111618e-02 4.010051e+04 2.770950e+04 3.820744e+04
9.650684e-02 3.718568e+04 2.437986e+04 3.522923e+04
1.018975e-01 3.466484e+04 2.211102e+04 3.274689e+04
1.072882e-01 3.255070e+04 2.091158e+04 3.077250e+04
1.126788e-01 3.078769e+04 2.052852e+04 2.922032e+04
1.180695e-01 2.927826e+04 2.056150e+04 2.794653e+04
1.234601e-01 2.792620e+04 2.060663e+04 2.680793e+04
1.288508e-01 2.665502e+04 2.035856e+04 2.569306e+04
1.342414e-01 2.541175e+04 1.966247e+04 2.453339e+04
1.396321e-01 2.417397e+04 1.852751e+04 2.331132e+04
1.450227e-01 2.294999e+04 1.709719e+04 2.205581e+04
1.504134e-01 2.176639e+04 1.558504e+04 2.082202e+04
1.558041e-01 2.065596e+04 1.420612e+04 1.967056e+04
1.611947e-01 1.964986e+04 1.312327e+04 1.865274e+04
1.665854e-01 1.876659e+04 1.241078e+04 1.779556e+04
1.719760e-01 1.800251e+04 1.204313e+04 1.709205e+04
1.773667e-01 1.733544e+04 1.191750e+04 1.650770e+04
1.827573e-01 1.673647e+04 1.189655e+04 1.599704e+04
1.881480e-01 1.617725e+04 1.184828e+04 1.551588e+04
1.935387e-01 1.563284e+04 1.167477e+04 1.502814e+04
1.989293e-01 1.508695e+04 1.133126e+04 1.451317e+04
2.043200e-01 1.453646e+04 1.083103e+04 1.397035e+04
2.097106e-01 1.398901e+04 1.023173e+04 1.341499e+04
2.151013e-01 1.345684e+04 9.611104e+03 1.286930e+04
2.204919e-01 1.295271e+04 9.044000e+03 1.235555e+04
2.258826e-01 1.248737e+04 8.584995e+03 1.189118e+04
2.312732e-01 1.206622e+04 8.257146e+03 1.148428e+04
2.366639e-01 1.168769e+04 8.050321e+03 1.113198e+04
2.420546e-01 1.134518e+04 7.929641e+03 1.082336e+04
2.474452e-01 1.102949e+04 7.848357e+03 1.054348e+04
2.528359e-01 1.073000e+04 7.760013e+03 1.027625e+04
2.582265e-01 1.043677e+04 7.629236e+03 1.000784e+04
2.636172e-01 1.014407e+04 7.439976e+03 9.730943e+03
2.690078e-01 9.851743e+03 7.197080e+03 9.446170e+03
2.743985e-01 9.562963e+03 6.920313e+03 9.159225e+03
2.797891e-01 9.281501e+03 6.635667e+03 8.877276e+03
2.851798e-01 9.011245e+03 6.368516e+03 8.607495e+03
2.905705e-01 8.756274e+03 6.138582e+03 8.356349e+03
2.959611e-01 8.519383e+03 5.955628e+03 8.127698e+03
3.013518e-01 8.300374e+03 5.817483e+03 7.921044e+03
3.067424e-01 8.096432e+03 5.712408e+03 7.732206e+03
3.121331e-01 7.903955e+03 5.624314e+03 7.555676e+03
3.175237e-01 7.719652e+03 5.537542e+03 7.386274e+03
3.229144e-01 7.540538e+03 5.439893e+03 7.219606e+03
3.283051e-01 7.364200e+03 5.324645e+03 7.052602e+03
3.336957e-01 7.189644e+03 5.191670e+03 6.884397e+03
3.390864e-01 7.017624e+03 5.046729e+03 6.716515e+03
3.444770e-01 6.849838e+03 4.898781e+03 6.551761e+03
3.498677e-01 6.687855e+03 4.756798e+03 6.392833e+03
3.552583e-01 6.532742e+03 4.627588e+03 6.241677e+03
3.606490e-01 6.385187e+03 4.514823e+03 6.099437e+03
3.660397e-01 6.245400e+03 4.418698e+03 5.966320e+03
3.714303e-01 6.112815e+03 4.336157e+03 5.841381e+03
3.768210e-01 5.986188e+03 4.262018e+03 5.722772e+03
3.822116e-01 5.864140e+03 4.190716e+03 5.608478e+03
3.876023e-01 5.745594e+03 4.117807e+03 5.496904e+03
3.929929e-01 5.629774e+03 4.040653e+03 5.386991e+03
3.983836e-01 5.516158e+03 3.958583e+03 5.278196e+03
4.037743e-01 5.404666e+03 3.872844e+03 5.170637e+03
4.091649e-01 5.295732e+03 3.786114e+03 5.065096e+03
4.145555e-01 5.189964e+03 3.701484e+03 4.962558e+03
4.199462e-01 5.087727e+03 3.621416e+03 4.863707e+03
4.253369e-01 4.989141e+03 3.547320e+03 4.768863e+03
4.307275e-01 4.894280e+03 3.479585e+03 4.678146e+03
4.361182e-01 4.803110e+03 3.417621e+03 4.591438e+03
4.415088e-01 4.715291e+03 3.359940e+03 4.508223e+03
4.468995e-01 4.630250e+03 3.304619e+03 4.427723e+03
4.522901e-01 4.547511e+03 3.249985e+03 4.349278e+03
4.576808e-01 4.466824e+03 3.195011e+03 4.272520e+03
4.630715e-01 4.388026e+03 3.139294e+03 4.197248e+03
4.684621e-01 4.310948e+03 3.082933e+03 4.123335e+03
4.738528e-01 4.235547e+03 3.026521e+03 4.050835e+03
4.792434e-01 4.161984e+03 2.971011e+03 3.980030e+03
4.846341e-01 4.090472e+03 2.917359e+03 3.911246e+03
4.900247e-01 4.021080e+03 2.866165e+03 3.844635e+03
4.954154e-01 3.953737e+03 2.817593e+03 3.780159e+03
5.008060e-01 3.888364e+03 2.771505e+03 3.717733e+03
5.061967e-01 3.824916e+03 2.727572e+03 3.657266e+03
5.115874e-01 3.763288e+03 2.685286e+03 3.598593e+03
5.169780e-01 3.703267e+03 2.644037e+03 3.541440e+03
5.223687e-01 3.644644e+03 2.603313e+03 3.485552e+03
5.277593e-01 3.587327e+03 2.562879e+03 3.430814e+03
5.331500e-01 3.531312e+03 2.522748e+03 3.377226e+03
5.385407e-01 3.476571e+03 2.483050e+03 3.324783e+03
5.439313e-01 3.423050e+03 2.443966e+03 3.273468e+03
5.493219e-01 3.370752e+03 2.405746e+03 3.223320e+03
5.547127e-01 3.319740e+03 2.368659e+03 3.174437e+03
5.601033e-01 3.270043e+03 2.332854e+03 3.126861e+03
5.654939e-01 3.221593e+03 2.298296e+03 3.080533e+03
5.708846e-01 3.174305e+03 2.264851e+03 3.035361e+03
5.762752e-01 3.128149e+03 2.232383e+03 2.991295e+03
5.816659e-01 3.083101e+03 2.200750e+03 2.948297e+03
5.870566e-01 3.039088e+03 2.169772e+03 2.906276e+03
5.924472e-01 2.996009e+03 2.139286e+03 2.865121e+03
5.978379e-01 2.953820e+03 2.109230e+03 2.824786e+03
6.032285e-01 2.912533e+03 2.079647e+03 2.785287e+03
6.086192e-01 2.872143e+03 2.050595e+03 2.746629e+03
6.140099e-01 2.832606e+03 2.022109e+03 2.708781e+03
6.194005e-01 2.793895e+03 1.994234e+03 2.671724e+03
6.247911e-01 2.756022e+03 1.967038e+03 2.635483e+03
6.301818e-01 2.719002e+03 1.940563e+03 2.600074e+03
6.564394e-01 2.549610e+03 1.820230e+03 2.438177e+03
8.111531e-01 1.819907e+03 1.299342e+03 1.740376e+03
1.009761e+00 1.276555e+03 9.114880e+02 1.220781e+03
1.256998e+00 8.907617e+02 6.360674e+02 8.518500e+02
1.564771e+00 6.186319e+02 4.417716e+02 5.916116e+02
1.947900e+00 4.278093e+02 3.055175e+02 4.091259e+02
